"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.726362292E0,1.097483039E-1,1.998357773E-1,-4.592127800E-1
1.731389531E0,1.628069878E-1,2.021770477E-1,-5.158402920E-1
1.736416719E0,2.561670542E-1,2.212066650E-1,-5.625815392E-1
1.741537865E0,3.109366000E-1,2.354221344E-1,-7.159862518E-1
1.746565104E0,3.401729167E-1,2.119951248E-1,-7.739796638E-1
1.751592292E0,2.607385218E-1,6.784152985E-2,-5.562887192E-1
1.756619479E0,2.564212978E-1,4.398536682E-2,-6.878182888E-1
1.761646719E0,2.787803710E-1,6.538391113E-3,-8.809754848E-1
1.766673906E0,3.061217070E-1,1.970481873E-2,-8.690989017E-1
1.771797917E0,3.030129075E-1,-2.552986145E-3,-7.391598225E-1
1.776825156E0,2.552401125E-1,-5.528259277E-2,-6.297478676E-1
1.781852344E0,3.174071014E-1,-7.658481598E-2,-6.117153168E-1
1.786879531E0,3.935956061E-1,-9.288692474E-2,-6.010808945E-1
1.791906771E0,3.933962882E-1,-1.065711975E-1,-6.928801537E-1
1.796933958E0,3.911025226E-1,-1.412963867E-1,-7.843894958E-1
1.802054531E0,3.556785583E-1,-1.920280457E-1,-7.761166096E-1
1.807081771E0,3.422402143E-1,-2.468032837E-1,-7.020061016E-1
1.812108958E0,3.195697963E-1,-2.627124786E-1,-7.244403362E-1
1.817136146E0,2.591679692E-1,-3.565177917E-1,-7.380213737E-1
1.822163385E0,3.517782688E-1,-3.731412888E-1,-6.786582470E-1
1.827190573E0,3.651606441E-1,-4.083194733E-1,-5.943894386E-1
1.832321042E0,3.285151422E-1,-4.833707809E-1,-5.113332272E-1
1.837348281E0,3.231164813E-1,-5.623865128E-1,-4.649603367E-1
1.842375469E0,3.485326171E-1,-6.049880981E-1,-3.242466450E-1
1.847402656E0,3.715307117E-1,-6.923542023E-1,-1.300663948E-1
1.852429896E0,3.967708349E-1,-7.529125214E-1,-2.763891220E-2
1.857457083E0,4.265758395E-1,-8.414258957E-1,-1.304550171E-1
1.862549375E0,3.521837890E-1,-8.463163376E-1,2.861523628E-1
1.867576562E0,3.122577369E-1,-8.657369614E-1,4.625720978E-1
1.872603802E0,3.251495659E-1,-8.971881866E-1,3.508460522E-1
1.877630990E0,2.764112055E-1,-8.741283417E-1,2.956225872E-1
1.882658177E0,1.448940933E-1,-9.064235687E-1,3.988387585E-1
